员工ID,一级事业部,二级,三级部门,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
E001,智能硬件事业部,研发中心,框架研发,5,5,5,4,5,4,3,4,4,3,3,5
E002,智能硬件事业部,研发中心,框架研发,3,4,4,3,3,4,5,4,4,4,3,4
E003,智能硬件事业部,研发中心,框架研发,4,4,4,4,4,4,5,4,5,4,4,4
E004,智能硬件事业部,研发中心,框架研发,3,3,4,3,5,4,4,3,5,2,3,4
E005,智能硬件事业部,研发中心,框架研发,4,4,4,4,4,3,5,5,4,3,3,4
E006,智能硬件事业部,研发中心,框架研发,5,4,5,4,4,3,4,3,4,3,4,3
E007,智能硬件事业部,研发中心,框架研发,4,4,3,3,4,3,5,5,3,3,3,4
E008,智能硬件事业部,研发中心,框架研发,3,5,5,4,4,2,4,5,4,2,3,4
E009,智能硬件事业部,研发中心,框架研发,4,4,3,3,4,3,5,4,4,2,3,4
E010,智能硬件事业部,研发中心,框架研发,5,4,4,2,4,3,5,5,4,2,3,4
E011,智能硬件事业部,研发中心,框架研发,5,5,5,3,3,3,4,5,5,3,3,4
E012,智能硬件事业部,研发中心,应用研发,4,4,4,4,4,3,4,5,4,3,4,4
E013,智能硬件事业部,研发中心,应用研发,4,5,4,3,3,5,4,4,4,3,4,5
E014,智能硬件事业部,研发中心,应用研发,4,4,4,4,4,3,5,3,4,3,3,4
E015,智能硬件事业部,研发中心,应用研发,5,5,4,3,4,3,4,4,3,3,3,4
E016,智能硬件事业部,研发中心,应用研发,3,2,5,4,3,5,4,4,3,3,3,4
E017,智能硬件事业部,研发中心,应用研发,5,3,5,3,5,5,5,3,5,3,4,5
E018,智能硬件事业部,研发中心,应用研发,4,4,5,4,4,4,4,3,3,4,4,4
E019,智能硬件事业部,研发中心,应用研发,4,3,4,5,3,3,4,4,3,3,4,4
E020,智能硬件事业部,研发中心,应用研发,4,4,5,4,4,3,5,5,4,4,3,4
E021,智能硬件事业部,研发中心,应用研发,3,3,5,3,4,3,3,5,4,4,4,4
E022,智能硬件事业部,产品部,硬件产品,3,3,5,3,3,3,4,4,4,3,2,4
E023,智能硬件事业部,产品部,硬件产品,3,5,4,2,3,3,4,4,4,2,4,3
E024,智能硬件事业部,产品部,硬件产品,4,4,4,4,3,2,3,4,4,3,2,3
E025,智能硬件事业部,产品部,硬件产品,4,4,5,4,4,4,3,3,5,4,3,3
E026,智能硬件事业部,产品部,硬件产品,4,4,3,3,4,3,5,3,4,3,3,3
E027,智能硬件事业部,产品部,硬件产品,3,4,5,2,4,2,4,4,4,2,3,4
E028,智能硬件事业部,产品部,硬件产品,5,3,3,3,4,3,4,5,3,3,3,4
E029,智能硬件事业部,产品部,硬件产品,4,3,4,2,4,4,3,4,4,3,3,4
E030,智能硬件事业部,产品部,硬件产品,3,2,4,3,4,3,2,3,4,3,2,4
E031,企业服务事业部,平台研发,基础平台,4,4,4,5,4,5,5,5,3,3,4,3
E032,企业服务事业部,平台研发,基础平台,4,4,4,4,4,5,4,4,4,4,3,4
E033,企业服务事业部,平台研发,基础平台,5,5,5,4,5,4,4,5,5,4,3,5
E034,企业服务事业部,平台研发,基础平台,4,4,4,4,3,4,4,4,5,4,3,4
E035,企业服务事业部,平台研发,基础平台,5,3,4,4,4,4,4,5,5,3,3,5
E036,企业服务事业部,平台研发,基础平台,5,5,4,4,4,4,4,3,5,4,4,5
E037,企业服务事业部,平台研发,基础平台,4,4,5,5,3,4,3,3,3,3,4,4
E038,企业服务事业部,平台研发,基础平台,4,4,5,3,5,3,4,5,4,4,4,3
E039,企业服务事业部,平台研发,基础平台,4,4,5,4,4,5,4,4,5,4,4,4
E040,企业服务事业部,平台研发,云服务,3,4,5,3,2,3,3,3,4,2,1,3
E041,企业服务事业部,平台研发,云服务,3,4,5,2,2,3,4,2,3,3,2,3
E042,企业服务事业部,平台研发,云服务,3,2,4,2,4,2,2,3,2,2,3,3
E043,企业服务事业部,平台研发,云服务,4,3,4,3,2,3,4,3,4,2,3,2
E044,企业服务事业部,平台研发,云服务,3,3,4,3,4,3,3,4,3,4,2,3
E045,企业服务事业部,平台研发,云服务,3,3,4,3,3,3,2,3,3,1,3,3
E046,企业服务事业部,平台研发,云服务,2,3,3,2,2,4,3,4,3,2,3,3
E047,企业服务事业部,平台研发,云服务,3,2,4,2,4,3,3,3,3,2,2,3
E048,企业服务事业部,平台研发,云服务,3,3,4,2,3,3,2,3,2,2,3,2
E049,企业服务事业部,交付中心,项目交付,4,3,5,2,5,4,4,5,3,3,4,4
E050,企业服务事业部,交付中心,项目交付,4,4,4,3,4,3,4,4,4,3,3,3
E051,企业服务事业部,交付中心,项目交付,4,3,4,3,4,3,4,5,3,4,2,4
E052,企业服务事业部,交付中心,项目交付,3,4,4,4,4,4,4,4,4,4,3,3
E053,企业服务事业部,交付中心,项目交付,4,4,4,2,3,3,4,4,4,3,4,4
E054,企业服务事业部,交付中心,项目交付,4,5,3,3,5,4,3,4,3,3,3,4
E055,企业服务事业部,交付中心,项目交付,5,4,3,3,4,4,4,4,4,4,3,5
E056,企业服务事业部,交付中心,项目交付,5,4,3,3,4,4,3,4,5,2,3,4
E057,企业服务事业部,交付中心,项目交付,3,3,4,3,4,4,4,4,4,3,2,4
E058,企业服务事业部,交付中心,项目交付,4,4,4,2,3,4,5,4,3,2,4,3
E059,企业服务事业部,交付中心,项目交付,3,3,5,3,4,4,3,5,3,3,4,4
E060,企业服务事业部,交付中心,项目交付,3,2,3,3,4,4,3,4,4,3,4,3
